text,price,quality,shipping,service
The price is too high but quality is excellent and shipping was fast. Review #0.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #1.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #2.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #3.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #4.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #5.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #6.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #7.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #8.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #9.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #10.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #11.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #12.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #13.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #14.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #15.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #16.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #17.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #18.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #19.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #20.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #21.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #22.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #23.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #24.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #25.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #26.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #27.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #28.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #29.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #30.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #31.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #32.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #33.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #34.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #35.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #36.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #37.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #38.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #39.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #40.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #41.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #42.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #43.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #44.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #45.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #46.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #47.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #48.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #49.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #50.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #51.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #52.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #53.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #54.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #55.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #56.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #57.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #58.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #59.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #60.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #61.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #62.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #63.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #64.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #65.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #66.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #67.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #68.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #69.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #70.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #71.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #72.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #73.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #74.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #75.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #76.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #77.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #78.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #79.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #80.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #81.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #82.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #83.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #84.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #85.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #86.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #87.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #88.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #89.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #90.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #91.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #92.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #93.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #94.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #95.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #96.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #97.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #98.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #99.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #100.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #101.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #102.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #103.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #104.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #105.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #106.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #107.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #108.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #109.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #110.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #111.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #112.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #113.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #114.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #115.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #116.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #117.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #118.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #119.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #120.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #121.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #122.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #123.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #124.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #125.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #126.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #127.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #128.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #129.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #130.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #131.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #132.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #133.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #134.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #135.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #136.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #137.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #138.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #139.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #140.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #141.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #142.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #143.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #144.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #145.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #146.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #147.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #148.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #149.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #150.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #151.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #152.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #153.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #154.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #155.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #156.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #157.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #158.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #159.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #160.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #161.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #162.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #163.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #164.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #165.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #166.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #167.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #168.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #169.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #170.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #171.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #172.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #173.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #174.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #175.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #176.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #177.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #178.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #179.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #180.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #181.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #182.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #183.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #184.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #185.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #186.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #187.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #188.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #189.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #190.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #191.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #192.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #193.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #194.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #195.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #196.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #197.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #198.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #199.",0.85,0.5,0.35,0.5
